audio,transcription
wavs/sample_000000.wav,المندوب هيوصل بعد حوالي عشر دقايق، يا ريت تستنى ال call بتاعه.
wavs/sample_000001.wav,المندوب هيوصل بعد حوالي عشر دقايق، يا ريت تستنى ال call بتاعه.
wavs/sample_000002.wav,أهلا، أنا تحت البيت مستني ال rider، هو المفروض كان يوصل من حوالي عشر دقايق.
wavs/sample_000003.wav,أهلا، أنا تحت البيت مستني ال rider، هو المفروض كان يوصل من حوالي عشر دقايق.
wavs/sample_000004.wav,يا صاحبي، أنا محتاج أشتري كام حاجة من ال supermarket قبل الساعة خمسة بالليل.
wavs/sample_000005.wav,يا صاحبي، أنا محتاج أشتري كام حاجة من ال supermarket قبل الساعة خمسة بالليل.
wavs/sample_000006.wav,لو سمحت، ممكن أعرف سعر ال Tshirt ده كام؟ أنا عايز منه تلاتة.
wavs/sample_000007.wav,لو سمحت، ممكن أعرف سعر ال Tshirt ده كام؟ أنا عايز منه تلاتة.
wavs/sample_000008.wav,ممكن لو سمحت أخد اتنين كيلو تفاح أحمر، وكمان أشوف ال offers اللي عندكوا على ال Detergent.
wavs/sample_000009.wav,ممكن لو سمحت أخد اتنين كيلو تفاح أحمر، وكمان أشوف ال offers اللي عندكوا على ال Detergent.
wavs/sample_000010.wav,أنا محتاج أعمل Refund لل Order رقم خمسمية خمسة وسبعين ألف، كان فيه مشكلة في ال Delivery.
wavs/sample_000011.wav,أنا محتاج أعمل Refund لل Order رقم خمسمية خمسة وسبعين ألف، كان فيه مشكلة في ال Delivery.
wavs/sample_000012.wav,لو سمحت، ممكن توصلني عند ال Mall اللي بعد الإشارة التالتة؟ أنا مستعجل عشان ال delivery لازم يوصل خلال نص ساعة بالكتير.
wavs/sample_000013.wav,لو سمحت، ممكن توصلني عند ال Mall اللي بعد الإشارة التالتة؟ أنا مستعجل عشان ال delivery لازم يوصل خلال نص ساعة بالكتير.
wavs/sample_000014.wav,لو سمحت، هو الأتوبيس اللي رايح التحرير بيعدي على كام محطة قبل ما يوصل؟
wavs/sample_000015.wav,لو سمحت، هو الأتوبيس اللي رايح التحرير بيعدي على كام محطة قبل ما يوصل؟
